file,processed,processed_time
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_124218.wav,true,2020-05-23T14:46:37.88
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_125218.wav,true,2020-05-23T14:46:47.948
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_130218.wav,true,2020-05-23T14:46:58.341
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_131218.wav,true,2020-05-23T14:47:13.067
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_132218.wav,true,2020-05-23T14:47:18.911
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_133218.wav,true,2020-05-23T14:47:36.214
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_134218.wav,true,2020-05-23T14:47:40.45
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_135218.wav,true,2020-05-23T14:47:57.84
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_140218.wav,true,2020-05-23T14:48:06.926
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_141218.wav,true,2020-05-23T14:48:18.404
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_142218.wav,true,2020-05-23T14:48:29.211
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_143218.wav,true,2020-05-23T14:48:39.155
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_144218.wav,true,2020-05-23T14:48:49.175
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_145218.wav,true,2020-05-23T14:48:59.575
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_150218.wav,true,2020-05-23T14:49:09.66
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200502_151218.wav,true,2020-05-23T14:49:20.471
