file,time,date,processed_time
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_170219.wav_clicks.jld2,2020-05-01T17:02:19.0,2020-05-01,2020-05-23T14:25:30.403
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_171219.wav_clicks.jld2,2020-05-01T17:12:19.0,2020-05-01,2020-05-23T14:25:39.757
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_172219.wav_clicks.jld2,2020-05-01T17:22:19.0,2020-05-01,2020-05-23T14:25:49.996
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_173219.wav_clicks.jld2,2020-05-01T17:32:19.0,2020-05-01,2020-05-23T14:26:00.071
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_174219.wav_clicks.jld2,2020-05-01T17:42:19.0,2020-05-01,2020-05-23T14:26:10.793
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_175219.wav_clicks.jld2,2020-05-01T17:52:19.0,2020-05-01,2020-05-23T14:26:20.653
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_180219.wav_clicks.jld2,2020-05-01T18:02:19.0,2020-05-01,2020-05-23T14:26:32.728
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_181219.wav_clicks.jld2,2020-05-01T18:12:19.0,2020-05-01,2020-05-23T14:26:42.687
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_182219.wav_clicks.jld2,2020-05-01T18:22:19.0,2020-05-01,2020-05-23T14:26:55.485
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_183219.wav_clicks.jld2,2020-05-01T18:32:19.0,2020-05-01,2020-05-23T14:27:04.575
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_184219.wav_clicks.jld2,2020-05-01T18:42:19.0,2020-05-01,2020-05-23T14:27:15.817
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_185219.wav_clicks.jld2,2020-05-01T18:52:19.0,2020-05-01,2020-05-23T14:27:25.607
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_190219.wav_clicks.jld2,2020-05-01T19:02:19.0,2020-05-01,2020-05-23T14:27:36.405
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_191219.wav_clicks.jld2,2020-05-01T19:12:19.0,2020-05-01,2020-05-23T14:27:46.727
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_192219.wav_clicks.jld2,2020-05-01T19:22:19.0,2020-05-01,2020-05-23T14:27:57.872
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_193219.wav_clicks.jld2,2020-05-01T19:32:19.0,2020-05-01,2020-05-23T14:28:06.725
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_194219.wav_clicks.jld2,2020-05-01T19:42:19.0,2020-05-01,2020-05-23T14:28:17.879
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_195219.wav_clicks.jld2,2020-05-01T19:52:19.0,2020-05-01,2020-05-23T14:28:28.246
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_200219.wav_clicks.jld2,2020-05-01T20:02:19.0,2020-05-01,2020-05-23T14:28:39.686
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_201219.wav_clicks.jld2,2020-05-01T20:12:19.0,2020-05-01,2020-05-23T14:28:50.771
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_202219.wav_clicks.jld2,2020-05-01T20:22:19.0,2020-05-01,2020-05-23T14:29:00.383
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_203219.wav_clicks.jld2,2020-05-01T20:32:19.0,2020-05-01,2020-05-23T14:29:12.385
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_204219.wav_clicks.jld2,2020-05-01T20:42:19.0,2020-05-01,2020-05-23T14:29:23.421
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_205219.wav_clicks.jld2,2020-05-01T20:52:19.0,2020-05-01,2020-05-23T14:29:33.609
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_210219.wav_clicks.jld2,2020-05-01T21:02:19.0,2020-05-01,2020-05-23T14:29:43.43
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_211219.wav_clicks.jld2,2020-05-01T21:12:19.0,2020-05-01,2020-05-23T14:29:54.659
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_212219.wav_clicks.jld2,2020-05-01T21:22:19.0,2020-05-01,2020-05-23T14:30:05.919
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_213219.wav_clicks.jld2,2020-05-01T21:32:19.0,2020-05-01,2020-05-23T14:30:17.985
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_214219.wav_clicks.jld2,2020-05-01T21:42:19.0,2020-05-01,2020-05-23T14:30:27.485
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_215219.wav_clicks.jld2,2020-05-01T21:52:19.0,2020-05-01,2020-05-23T14:30:40.19
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_220219.wav_clicks.jld2,2020-05-01T22:02:19.0,2020-05-01,2020-05-23T14:30:49.401
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_221219.wav_clicks.jld2,2020-05-01T22:12:19.0,2020-05-01,2020-05-23T14:30:59.812
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_222219.wav_clicks.jld2,2020-05-01T22:22:19.0,2020-05-01,2020-05-23T14:31:13.393
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_223219.wav_clicks.jld2,2020-05-01T22:32:19.0,2020-05-01,2020-05-23T14:31:20.659
